t,x,y,z,vx,vy,vz,qw,qx,qy,qz,wx,wy,wz,motor_0_thrust_n,motor_1_thrust_n,motor_2_thrust_n,motor_3_thrust_n
2.160000000,-0.05911555808243865,0.0,3.8790560989077,-0.2888412325057269,0.0,-0.720353337126676,-0.542599880929789,0.0,-0.839991291154247,0.0,0.0,-18.044454930140937,0.0,0.022466130348225803,0.0393368696517742,0.039336869651774194,0.02246613034822581
2.180000000,-0.06436804501790562,0.0,3.8625540911692418,-0.2364074610409695,0.0,-0.9298474367191649,-0.6808765499478195,0.0,-0.7323982002511711,0.0,0.0,-16.89602828232875,0.0,0.02002223820612352,0.04178076179387648,0.04178076179387648,0.02002223820612353
2.200000000,-0.06855624601705723,0.0,3.8420436583108155,-0.18241263887419182,0.0,-1.1211958491234748,-0.7903926695187613,0.0,-0.6126005451932002,0.0,0.0,-15.475330271205387,0.0,0.01789368698558156,0.043909313014418444,0.04390931301441844,0.017893686985581567
2.220000000,-0.07170377677411229,0.0,3.817868923282009,-0.13234043683131366,0.0,-1.296277653757166,-0.8716042308000858,0.0,-0.4902102251599725,0.0,0.0,-13.824248798818639,0.0,0.01615931191699229,0.045643688083007714,0.04564368808300771,0.0161593119169923
2.240000000,-0.07392549151807003,0.0,3.7903220473381762,-0.08983103756446056,0.0,-1.4584099406260973,-0.927599397377532,0.0,-0.3735764419564479,0.0,0.0,-11.993980189893893,0.0,0.014897948230746055,0.04690505176925394,0.04690505176925394,0.014897948230746066
2.260000000,-0.07538936672798416,0.0,3.7596247604220934,-0.05655648342695241,0.0,-1.6113187509821751,-0.9631141556269006,0.0,-0.26909314972901516,0.0,0.0,-10.045029191833533,0.0,0.01418843115723327,0.04761456884276673,0.04761456884276673,0.014188431157233282
2.280000000,-0.07628034998133801,0.0,3.7259279762787942,-0.03254184190843287,0.0,-1.7583596633477163,-0.9834907159106258,0.0,-0.18095859116826918,0.0,0.0,-8.04720897471755,0.0,0.014109595926843355,0.04769340407315664,0.04769340407315664,0.014109595926843363
2.300000000,-0.07677266556978402,0.0,3.689323351269983,-0.01668971693616725,0.0,-1.9021028375334212,-0.9937895171394429,0.0,-0.11127621319829764,0.0,0.0,-6.079641131302701,0.0,0.014740277769964907,0.04706272223003509,0.04706272223003509,0.014740277769964918
2.320000000,-0.07701262548628707,0.0,3.6498598525123227,-0.007306274714137471,0.0,-2.0442470382325917,-0.9981783920847693,0.0,-0.06033156367163429,0.0,0.0,-4.230755677023156,0.0,0.016159311916992852,0.045643688083007145,0.045643688083007145,0.016159311916992863
2.340000000,-0.07711090132189188,0.0,3.6075598749423414,-0.002521308846343934,0.0,-2.1857507187655454,-0.9996384310682613,0.0,-0.026888791928701486,0.0,0.0,-2.5982910499913396,0.0,0.018445533598314294,0.0433574664016857,0.043357466401685696,0.018445533598314308
