step,t,k,x,y,z,vx,vy,vz
4,0.200000000,6,0.109978147,-0.005917026,1.113705754,1.509478807,-0.098122045,0.102108449
4,0.200000000,7,0.143222868,-0.007419437,1.115828514,1.814213991,-0.047311872,0.110166200
4,0.200000000,8,0.182468712,-0.007630148,1.118087173,2.107322216,0.030518768,0.115700833
4,0.200000000,9,0.227356508,-0.006045523,1.120435715,2.376528740,0.131458536,0.119151652
4,0.200000000,10,0.277304024,-0.002251233,1.122833848,2.611766577,0.250612736,0.120665349
4,0.200000000,11,0.331547976,0.004064412,1.125244379,2.804964542,0.382690102,0.120385878
4,0.200000000,12,0.389181882,0.013106490,1.127632737,2.949842453,0.522368610,0.118454456
4,0.200000000,13,0.449189991,0.024975263,1.129967332,3.041722059,0.664516985,0.115008928
4,0.200000000,14,0.510477662,0.039671391,1.132219195,3.077364683,0.804322541,0.110183068
4,0.200000000,15,0.571898699,0.057103071,1.134362102,3.054830790,0.937359035,0.104109086
4,0.200000000,16,0.632279992,0.077094123,1.136372447,2.973360062,1.059619188,0.096925549
4,0.200000000,17,0.690444410,0.099392541,1.138229489,2.833276987,1.167526603,0.088782355
4,0.200000000,18,0.745231390,0.123679079,1.139915705,2.635927677,1.257936358,0.079841204
4,0.200000000,19,0.795517385,0.149575919,1.141416788,2.383659840,1.328135371,0.070275664
4,0.200000000,20,0.840236247,0.176655367,1.142722249,2.079875946,1.375850201,0.060271133
4,0.200000000,21,0.878401577,0.204448894,1.143825173,1.729214311,1.399283290,0.050024383
4,0.200000000,22,0.909135401,0.232457533,1.144722819,1.337966442,1.397210121,0.039742559
4,0.200000000,23,0.931708753,0.260165304,1.145416737,0.914946556,1.369214296,0.029641528
4,0.200000000,24,0.945607781,0.287059993,1.145912528,0.473248154,1.316216230,0.019942902
5,0.250000000,0,0.037852909,0.001878290,1.109489799,0.464973569,-0.041552741,0.047998399
5,0.250000000,1,0.047878217,0.000946927,1.110019088,0.544209361,-0.047853515,0.004933860
5,0.250000000,2,0.060061958,0.000202137,1.110338092,0.686218917,-0.020005921,0.026962562
5,0.250000000,3,0.075743183,0.000391415,1.111085534,0.890132189,0.044586573,0.047772687
5,0.250000000,4,0.095876850,0.002177229,1.112209201,1.125899911,0.138175949,0.064595692
5,0.250000000,5,0.120784104,0.006053836,1.113657832,1.362845659,0.252345085,0.080273017
5,0.250000000,6,0.150241137,0.012360395,1.115372896,1.577652693,0.380090803,0.091229215
5,0.250000000,7,0.183641151,0.021307895,1.117283106,1.755173922,0.515528679,0.099784657
5,0.250000000,8,0.220141202,0.032999698,1.119341850,1.886587501,0.653763473,0.106086858
5,0.250000000,9,0.258769274,0.047449287,1.121505499,1.967527747,0.790658236,0.110281579
5,0.250000000,10,0.298498541,0.064593181,1.123733401,1.996676445,0.922627449,0.112512097
5,0.250000000,11,0.338297695,0.084300712,1.125987649,1.974772930,1.046520829,0.112919278
5,0.250000000,12,0.377165109,0.106381975,1.128233314,1.903954387,1.159561872,0.111641422
5,0.250000000,13,0.414152175,0.130595028,1.130437851,1.787326097,1.259314775,0.108814187
5,0.250000000,14,0.448379636,0.156652421,1.132571697,1.628678560,1.343664289,0.104570702
5,0.250000000,15,0.479049265,0.184227481,1.134607792,1.432298899,1.410801053,0.099040955
5,0.250000000,16,0.505452454,0.212960303,1.136521697,1.202842832,1.459209085,0.092359550
5,0.250000000,17,0.526976585,0.242463499,1.138291955,0.945247710,1.487653494,0.084674202
5,0.250000000,18,0.543110132,0.272327751,1.139900088,0.664681852,1.495172739,0.076146081
5,0.250000000,19,0.553447247,0.302127153,1.141330957,0.366529197,1.481076956,0.066950127
5,0.250000000,20,0.557692051,0.331424862,1.142573118,0.056417156,1.444961309,0.057274908
5,0.250000000,21,0.555664182,0.359779119,1.143619061,-0.259690344,1.386749744,0.047322288
5,0.250000000,22,0.547307611,0.386750728,1.144465327,-0.575289369,1.306801915,0.037306689
5,0.250000000,23,0.532704949,0.411913812,1.145112872,-0.882928312,1.206146955,0.027454257
5,0.250000000,24,0.512103438,0.434873551,1.145567417,-1.173407078,1.086977601,0.018001329
6,0.300000000,0,0.065509453,-0.000851963,1.111450195,0.627385974,-0.058578305,0.032096419
6,0.300000000,1,0.078691341,-0.001857860,1.111555696,0.691832900,-0.032673076,-0.021543127
6,0.300000000,2,0.093267553,-0.001583167,1.111358285,0.767704129,0.075057477,0.001797682
6,0.300000000,3,0.109432355,0.001625639,1.111643910,0.848331153,0.254762530,0.026751794
6,0.300000000,4,0.127127141,0.008811997,1.112397313,0.918120086,0.465910882,0.048582401
6,0.300000000,5,0.145998612,0.020228667,1.113515854,0.964313328,0.672694683,0.063262299
6,0.300000000,6,0.165494576,0.035528265,1.114902020,0.979761779,0.851130962,0.075353310
6,0.300000000,7,0.184965104,0.053997051,1.116505861,0.961537898,0.988154531,0.085027367
6,0.300000000,8,0.203731641,0.074744575,1.118280411,0.909511626,1.078630924,0.092431583
6,0.300000000,9,0.221132383,0.096832886,1.120181799,0.825344682,1.122526646,0.097709760
6,0.300000000,10,0.236550793,0.119356498,1.122168899,0.711811483,1.122831941,0.101002820
6,0.300000000,11,0.249433234,0.141488001,1.124203324,0.572375000,1.084181786,0.102449127
6,0.300000000,12,0.259300023,0.162501633,1.126249671,0.410928994,1.011990428,0.102184512
