time_s,measured_signed_tangent_speed_mps,inferred_local_path_curvature_per_m,commanded_speed_mps,commanded_curvature_speed_rate_radps,inferred_measured_speed_geometric_rate_radps,quaternion_euler_yaw_unwrapped_rad,quaternion_euler_yaw_rate_radps,measured_body_wz_radps,euler_yaw_rate_minus_geometric_radps,body_wz_minus_geometric_radps,euler_yaw_rate_minus_commanded_radps,body_wz_minus_commanded_radps,body_wz_minus_euler_yaw_rate_radps,tangent_yaw_error_deg,tilt_deg
1.7,0.9757395043054166,1.3333186388097538,1.0,1.3333186388097538,1.3009716677134018,1.4270331852341351,1.3356174437090829,1.2622302804926633,0.03464577599568108,-0.0387413872207385,0.002298804899329099,-0.07108835831709048,-0.07338716321641958,-14.361724640133989,5.669947944426814
1.72,0.9724858614494725,1.333385428933765,1.0,1.333385428933765,1.2966984775008268,1.4551073598006987,1.4066555133981353,1.2808200566420442,0.10995703589730854,-0.01587842085878255,0.07327008446437033,-0.05256537229172076,-0.1258354567560911,-14.322658471589301,5.296838705455131
1.74,0.964988354263556,1.3332659839983165,1.0,1.3332659839983165,1.286586147694116,1.4832994057700608,1.4586686956297044,1.386491632772187,0.1720825479355883,0.09990548507807095,0.12540271163138783,0.05322564877387048,-0.07217706285751735,-14.286032162644272,5.37377129272304
1.76,0.9552685642476008,1.3333260255126327,1.0,1.3333260255126327,1.2736844380654124,1.5134541076258867,1.5485197663548576,1.4899871737803323,0.2748353282894451,0.21630273571491987,0.21519374084222487,0.1566611482676996,-0.058532592574525255,-14.14590186868546,5.771564253391089
1.78,0.943353656225777,1.333326276793564,1.0,1.333326276793564,1.257798218155111,1.545240196424255,1.5775611548234139,1.4991766551192869,0.3197629366683028,0.24137843696417582,0.24423487802984978,0.1658503783257228,-0.07838449970412698,-13.921120806487696,6.9119653961196255
1.8,0.9295492379446654,1.3333402200302733,1.0,1.3333402200302733,1.239405385450113,1.5765565538188235,1.5437916821113404,1.5061522974077115,0.3043862966612274,0.2667469119575985,0.21045146208106713,0.1728120773774382,-0.03763938470362893,-13.731867345178104,7.699859912462127
1.82,0.9156119747490616,1.3333502649432118,1.0,1.3333502649432118,1.2208314691168387,1.6069918637087088,1.483296213499294,1.4809590511015345,0.26246474438245526,0.26012758198469577,0.14994594855608212,0.14760878615832262,-0.0023371623977594957,-12.79377090173655,8.130631585215646
1.84,0.9020979499889109,1.3333169633623096,1.0,1.3333169633623096,1.2027824993345793,1.6358884023587954,1.42127200700142,1.4447666323988533,0.21848950766684072,0.24198413306427402,0.08795504363911033,0.11144966903654363,0.0234946253974333,-12.755863030074503,8.246984620594889
1.86,0.8901917928362454,1.3333601128152355,1.0,1.3333601128152355,1.1869462293233328,1.6638427439887655,1.3652509393043388,1.3996826582701962,0.178304709981006,0.2127364289468634,0.03189082648910335,0.06632254545496075,0.034431718965857394,-12.780084515891076,8.226300215524908
1.8800000000000001,0.8801815377359844,1.3335577778341539,1.0,1.3335577778341539,1.1737729355538478,1.6904984399309688,1.3161775375919404,1.34606783205413,0.1424046020380927,0.17229489650028218,-0.017380240242213407,0.012510054219976086,0.029890294462189493,-12.886695234240436,8.052858828497982
1.9000000000000001,0.8713709585573565,1.333579465568864,1.0,1.333579465568864,1.1620424172251482,1.7164898454924433,1.26811500701303,1.2972104772612059,0.10607258978788181,0.13516806003605764,-0.06546445855583394,-0.03636898830765811,0.029095470248175825,-12.21757022742922,7.799871463121199
1.92,0.8642784033929795,1.3337130289535897,1.0,1.3337130289535897,1.1526993672484231,1.7412230402114897,1.211144004694944,1.2475529584710525,0.05844463744652084,0.09485359122262937,-0.12256902425864569,-0.08616007048253715,0.03640895377610853,-12.44596105027975,7.479027387159369
1.94,0.8582592148419607,1.3335693548587033,1.0,1.3335693548587033,1.1445481874383308,1.764935605680241,1.1516508679884296,1.1958804304778723,0.007102680550098883,0.051332243039541536,-0.18191848687027368,-0.13768892438083102,0.04422956248944265,-12.740690263549581,7.177884624038287
