step,t,x,y,z,vx,vy,vz,next_x,next_y,next_z,next_vx,next_vy,next_vz,nominal_vx,nominal_vy,nominal_vz,command_vx,command_vy,command_vz,accel_x,accel_y,accel_z,constraint_active,sector,azimuth_rad,depth_m,margin_m,a_x,a_y,a_z,b,current_slack_m,lookahead_violation_m,obstacle_clearance_m,obstacle_name,status,constraint_age_frames,gate_collision,admm_status,admm_iterations,admm_pri_res,admm_dua_res,admm_terminal_x,admm_terminal_y,admm_terminal_z
26,1.300000000,0.599154268,-0.281723920,1.129835920,0.703403552,-0.265176438,0.021783193,0.634452592,-0.294865598,1.130924830,0.710846108,-0.254672603,0.021621722,0.456511159,0.250000000,-0.059671839,0.050000000,-0.250000000,0.021088976,-0.800000000,0.043361251,-0.001983476,1,1,-0.349065850,0.827001894,0.661601515,0.956280437,0.292451207,0.000134137,0.656120936,0.165400379,0.000000000,0.697375921,center_box,active,0,False,-2,2,0.000000000,0.000000000,0.493105948,-0.707448602,1.145652652
27,1.350000000,0.634452592,-0.294865598,1.130924830,0.710846108,-0.254672603,0.021621722,0.670194768,-0.306753066,1.131955528,0.714474454,-0.223209114,0.019785402,0.440492667,0.250000000,-0.061849660,0.050000000,-0.250000000,0.032145329,-0.800000000,0.013350294,0.030067448,1,1,-0.349065850,0.829531425,0.663625140,0.950526745,0.307240438,-0.045849982,0.626522923,0.165906285,0.000000000,0.667643647,center_box,active,0,False,-2,2,0.000000000,0.000000000,0.197395876,-1.015586138,1.155033827
28,1.400000000,0.670194768,-0.306753066,1.131955528,0.714474454,-0.223209114,0.019785402,0.705237155,-0.317412455,1.132985218,0.685007052,-0.210814855,0.021179898,0.424074708,0.250000000,-0.063911056,0.050000000,-0.250000000,0.011417835,-0.800000000,-0.076545389,-0.023907336,1,1,-0.349065850,0.773179334,0.618543467,0.930968017,0.364970381,0.009755635,0.677652923,0.154635867,0.000000000,0.638821916,center_box,active,0,False,-2,2,0.000000000,0.000000000,0.278475076,-1.097574115,1.140518904
29,1.450000000,0.705237155,-0.317412455,1.132985218,0.685007052,-0.210814855,0.021179898,0.738428701,-0.328761100,1.133916337,0.647254656,-0.247772373,0.016016165,0.408286560,0.250000000,-0.065970436,0.050000000,-0.250000000,0.001049699,-0.800000000,-0.111957557,-0.057514854,1,1,-0.349065850,0.744900020,0.595920016,0.924013113,0.372415690,0.086639030,0.780579745,0.148980004,0.000000000,0.612690768,center_box,active,0,False,-2,2,0.000000000,0.000000000,0.630922377,-0.845201313,1.133772492
30,1.500000000,0.738428701,-0.328761100,1.133916337,0.647254656,-0.247772373,0.016016165,0.770142456,-0.342884127,1.134404709,0.624991285,-0.313676245,0.004300406,0.394164169,0.250000000,-0.067832674,0.050000000,-0.170000057,0.000954255,-0.800000000,0.222206618,-0.043034028,1,0,-0.523598776,0.736137466,0.588909973,0.885121773,0.453467990,0.104528607,0.770270874,0.147227493,0.000000000,0.589900116,center_box,active,0,False,-2,2,0.000000000,0.000000000,0.737089097,-0.353612632,1.134509563
31,1.550000000,0.770142456,-0.342884127,1.134404709,0.624991285,-0.313676245,0.004300406,0.800738350,-0.360281082,1.134356449,0.597709628,-0.372889862,-0.005094977,0.381371790,0.250000000,-0.068809419,0.050000000,-0.090004806,0.001825920,-0.800000000,0.639061256,-0.007069960,1,0,-0.523598776,0.785738519,0.628590815,0.918260165,0.385477000,0.090585603,0.834925632,0.157147704,0.000000000,0.570678212,center_box,active,0,False,-2,2,0.000000000,0.000000000,0.517455339,0.100045681,1.138552785
32,1.600000000,0.800738350,-0.360281082,1.134356449,0.597709628,-0.372889862,-0.005094977,0.829203830,-0.379587616,1.134171543,0.541582954,-0.387626471,-0.002624701,0.369585485,0.250000000,-0.068712898,0.050000000,-0.010004814,0.001860989,-0.800000000,0.800000000,0.019874189,1,0,-0.523598776,0.812028607,0.649622885,0.912008916,0.394420935,0.112569374,0.878277630,0.162405721,0.000000000,0.555600560,center_box,active,0,False,-2,2,0.000000000,0.000000000,0.602757692,0.220154524,1.135837674
33,1.650000000,0.829203830,-0.379587616,1.134171543,0.541582954,-0.387626471,-0.002624701,0.854474207,-0.397697653,1.134278126,0.475840490,-0.330431200,0.005148638,0.359716553,0.250000000,-0.068343086,0.058647957,0.069513257,0.000415523,-0.800000000,0.800000000,0.008686352,1,0,-0.523598776,0.698509670,0.558807736,0.869700082,0.486160222,0.085264328,0.773024548,0.139701934,0.005100503,0.543999601,center_box,active,0,False,-2,2,0.000000000,0.000000000,0.891035318,-0.045698009,1.132676721
34,1.700000000,0.854474207,-0.397697653,1.134278126,0.475840490,-0.330431200,0.005148638,0.876995102,-0.411500614,1.134657756,0.436079923,-0.225831478,0.009305568,0.352723214,0.250000000,-0.068556251,0.069660856,-0.009703619,0.002260151,-0.800000000,0.800000000,-0.008252820,1,0,-0.523598776,0.644171065,0.515336852,0.831580367,0.555283639,-0.011583286,0.605424519,0.128834213,0.000000000,0.533393031,center_box,active,0,False,-2,2,0.000000000,0.000000000,1.068512082,-0.654081464,1.140169859
35,1.750000000,0.876995102,-0.411500614,1.134657756,0.436079923,-0.225831478,0.009305568,0.899078432,-0.419734585,1.135179021,0.455062658,-0.115420237,0.011573166,0.348204408,0.250000000,-0.069315513,0.069267833,-0.089348421,0.009780199,-0.800000000,0.389951592,0.001356091,1,0,-0.523598776,0.697188528,0.557750822,0.837599883,0.532855317,-0.120381258,0.518146881,0.139437706,0.000000000,0.520646712,center_box,active,0,False,-2,2,0.000000000,0.000000000,0.928351402,-1.079163551,1.153369427
36,1.800000000,0.899078432,-0.419734585,1.135179021,0.455062658,-0.115420237,0.011573166,0.923241161,-0.423192667,1.135744901,0.509463140,-0.034074059,0.011510796,0.344079412,0.250000000,-0.070358043,0.059779304,-0.168461998,0.016922305,-0.800000000,-0.151547890,0.015283255,1,0,-0.523598776,0.811796431,0.649437145,0.866404099,0.467770700,-0.174741266,0.546622364,0.162359286,0.000000000,0.503904325,center_box,active,0,False,-2,2,0.000000000,0.000000000,0.493248612,-1.223314762,1.153391480
37,1.850000000,0.923241161,-0.423192667,1.135744901,0.509463140,-0.034074059,0.011510796,0.950172888,-0.423035485,1.136181326,0.560021998,0.033934327,0.006812645,0.338082955,0.250000000,-0.071489801,0.050264148,-0.247797584,0.020837224,-0.800000000,-0.610638645,0.026646936,1,0,-0.523598776,0.863681910,0.690945528,0.879707834,0.443673375,-0.171079116,0.602857311,0.172736382,0.000000000,0.483235863,center_box,active,0,False,-2,2,0.000000000,0.000000000,0.170306608,-1.133404493,1.151454329
38,1.900000000,0.950172888,-0.423035485,1.136181326,0.560021998,0.033934327,0.006812645,0.978833513,-0.419717040,1.136463039,0.580562051,0.089878279,0.005261214,0.329594401,0.250000000,-0.072362652,0.050000000,-0.250000000,0.012980976,-0.800000000,-0.800000000,0.017623802,1,0,-0.523598776,0.757752484,0.606201987,0.853760435,0.505488920,-0.124796123,0.607139740,0.151550497,0.000000000,0.459681079,center_box,active,0,False,-2,2,0.000000000,0.000000000,0.088767007,-1.219929934,1.145917058
39,1.950000000,0.978833513,-0.419717040,1.136463039,0.580562051,0.089878279,0.005261214,1.008271053,-0.414663856,1.136923620,0.598567701,0.100501826,0.012621638,0.319549839,0.250000000,-0.072926077,0.050000000,-0.250000000,0.012367099,-0.800000000,-0.800000000,0.020302530,1,0,-0.523598776,0.680243101,0.544194481,0.827395570,0.558207851,-0.061810725,0.641396181,0.136048620,0.000000000,0.434873812,center_box,active,0,False,-2,2,0.000000000,0.000000000,0.311979115,-1.254006147,1.145738363
40,2.000000000,1.008271053,-0.414663856,1.136923620,0.598567701,0.100501826,0.012621638,1.039338525,-0.411129012,1.137834940,0.643835093,0.033955461,0.021158264,0.308806053,0.250000000,-0.073847239,0.050000000,-0.250000000,0.012331236,-0.800000000,-0.800000000,-0.000829718,1,0,-0.523598776,0.712352859,0.569882287,0.850121803,0.525952625,-0.025821630,0.752173012,0.142470572,0.000000000,0.410588106,center_box,active,0,False,-2,2,0.000000000,0.000000000,0.252731115,-0.925646901,1.146172047
41,2.050000000,1.039338525,-0.411129012,1.137834940,0.643835093,0.033955461,0.021158264,1.072846957,-0.412561800,1.138699419,0.689906599,-0.087278302,0.012843524,0.296595327,0.250000000,-0.075669881,0.050000000,-0.170014045,0.010832229,-0.800000000,-0.582770019,-0.029502957,1,0,-0.523598776,0.754238070,0.603390456,0.870481797,0.492058180,0.011840082,0.866745547,0.150847614,0.000000000,0.389273285,center_box,active,0,False,-2,2,0.000000000,0.000000000,-0.152093619,-0.187439606,1.140055537
42,2.100000000,1.072846957,-0.412561800,1.138699419,0.689906599,-0.087278302,0.012843524,1.108003800,-0.420700540,1.138886113,0.711106472,-0.227097898,-0.003950203,0.282187738,0.250000000,-0.077398838,0.050000000,-0.090094177,0.007252467,-0.800000000,-0.008045357,-0.015974446,1,0,-0.523598776,0.712384066,0.569907253,0.847105988,0.522978851,0.094364015,0.942983048,0.142476813,0.000000000,0.373766565,center_box,active,0,False,-2,2,0.000000000,0.000000000,-0.294219106,0.463093579,1.132713675
43,2.150000000,1.108003800,-0.420700540,1.138886113,0.711106472,-0.227097898,-0.003950203,1.143966593,-0.435546667,1.138277573,0.728113807,-0.350707171,-0.017851336,0.266296580,0.250000000,-0.077772227,0.050000000,-0.010143098,0.004455163,-0.800000000,0.619870857,0.024015331,1,0,-0.523598776,0.684218501,0.547374801,0.820177623,0.556401997,0.133137092,0.963152988,0.136843700,0.000000000,0.365821429,center_box,active,0,False,-2,2,0.000000000,0.000000000,-0.143760815,0.888323009,1.135401130
44,2.200000000,1.143966593,-0.435546667,1.138277573,0.728113807,-0.350707171,-0.017851336,1.181369303,-0.455328900,1.137440617,0.768104452,-0.422721636,-0.014473895,0.249680066,0.250000000,-0.076555146,0.050000000,0.069809950,0.001714688,-0.800000000,0.800000000,0.055902925,1,0,-0.523598776,0.684218501,0.547374801,0.820177623,0.556401997,0.133137092,0.963152988,0.115689256,0.019545756,0.364784749,center_box,held_active,1,False,-2,2,0.000000000,0.000000000,-0.278708011,1.032872677,1.139426589
45,2.250000000,1.181369303,-0.455328900,1.137440617,0.768104452,-0.422721636,-0.014473895,1.221046148,-0.476567805,1.137346433,0.812557855,-0.414690807,0.008862344,0.231767627,0.250000000,-0.074881233,0.050000000,0.078109878,-0.004274276,-0.800000000,0.800000000,0.029141768,1,0,-0.523598776,0.684218501,0.547374801,0.820177623,0.556401997,0.133137092,0.963152988,0.096130694,0.039219732,0.368120554,center_box,held_active,2,False,-2,2,0.000000000,0.000000000,-0.709372401,0.860916734,1.139456511
46,2.300000000,1.221046148,-0.476567805,1.137346433,0.812557855,-0.414690807,0.008862344,1.262075315,-0.495755924,1.138232477,0.818242876,-0.352834374,0.024784171,0.211808467,0.250000000,-0.074692867,0.050000000,-0.001851425,-0.006762228,-0.800000000,0.800000000,-0.044641635,1,0,-0.523598776,0.684218501,0.547374801,0.820177623,0.556401997,0.133137092,0.963152988,0.075418543,0.059830705,0.373368976,center_box,held_active,3,False,-2,2,0.000000000,0.000000000,-0.922490597,0.405242652,1.138602376
47,2.350000000,1.262075315,-0.495755924,1.138232477,0.818242876,-0.352834374,0.024784171,1.301555786,-0.511331130,1.139567367,0.755380338,-0.273525999,0.026621765,0.190632216,0.250000000,-0.076464953,0.050000000,-0.081835913,-0.008337592,-0.800000000,0.774281318,-0.094633608,1,0,-0.523598776,0.684218501,0.547374801,0.820177623,0.556401997,0.133137092,0.963152988,0.052325680,0.083242155,0.379557518,center_box,held_active,4,False,-2,2,0.000000000,0.000000000,-0.689467371,0.090831168,1.141881347
48,2.400000000,1.301555786,-0.511331130,1.139567367,0.755380338,-0.273525999,0.026621765,1.336573694,-0.522234436,1.140274518,0.650139791,-0.166827101,0.001796348,0.170849793,0.250000000,-0.079134734,0.077120662,-0.006712314,-0.012910835,-0.800000000,0.762324817,-0.112950287,0,-1,,,,0.000000000,0.000000000,0.000000000,,,0.000000000,0.385184935,,stale_depth,0,False,-2,2,0.000000000,0.000000000,1.428280354,-0.325558096,1.118268609
49,2.450000000,1.336573694,-0.522234436,1.140274518,0.650139791,-0.166827101,0.001796348,1.365993474,-0.527325245,1.139720421,0.538003028,-0.047805551,-0.021318807,0.155083675,0.250000000,-0.080549036,0.086799998,0.072512530,-0.018363786,-0.800000000,0.683827518,-0.057600383,0,-1,,,,0.000000000,0.000000000,0.000000000,,,0.000000000,0.387916189,,stale_depth,0,False,-2,2,0.000000000,0.000000000,1.417937160,-0.295711607,1.117339492
