step,t,k,x,y,z,vx,vy,vz
5,0.250000000,15,0.428830028,-1.146865129,1.113700390,1.907256246,-8.125275612,0.044136357
5,0.250000000,16,0.466273546,-1.310803771,1.114624977,1.830395460,-8.244340897,0.048322950
5,0.250000000,17,0.501783907,-1.475673914,1.115609407,1.714038968,-8.217945099,0.050123665
5,0.250000000,18,0.534580410,-1.638547778,1.116615176,1.559283018,-8.044722557,0.050453186
5,0.250000000,19,0.563914776,-1.796500087,1.117621183,1.368282795,-7.726318836,0.050143994
5,0.250000000,20,0.589092910,-1.946668386,1.118623137,1.144310832,-7.267349243,0.050054137
5,0.250000000,21,0.609498322,-2.086313248,1.119619846,0.891902566,-6.675583839,0.049618948
5,0.250000000,22,0.624620140,-2.212887049,1.120578408,0.617112458,-5.962510109,0.046239890
5,0.250000000,23,0.634085357,-2.324116468,1.121399999,0.327697068,-5.144371033,0.035919294
5,0.250000000,24,0.637692869,-2.418115139,1.121823072,0.032994632,-4.243993282,0.006399028
6,0.300000000,0,0.062501945,-0.017740959,1.109057903,0.579198718,-0.136466414,0.010297795
6,0.300000000,1,0.074689478,-0.020801287,1.108738780,0.643352866,-0.175851390,-0.042204596
6,0.300000000,2,0.088482670,-0.025251094,1.107761621,0.742559671,-0.285873950,-0.055505760
6,0.300000000,3,0.104609117,-0.033037309,1.106990457,0.874213099,-0.515226543,-0.021618653
6,0.300000000,4,0.123544261,-0.046775684,1.106869817,1.019832253,-0.881408989,0.009546624
6,0.300000000,5,0.145352677,-0.069131881,1.107230067,1.158284426,-1.373601913,0.026468441
6,0.300000000,6,0.169722930,-0.102386370,1.107808352,1.273977399,-1.966290593,0.031352174
6,0.300000000,7,0.196100831,-0.148241624,1.108429909,1.358003378,-2.628199577,0.030801136
6,0.300000000,8,0.223805085,-0.207755506,1.109029770,1.406199217,-3.326686859,0.029185830
6,0.300000000,9,0.252103269,-0.281341195,1.109613419,1.417371869,-4.030249596,0.029176489
6,0.300000000,10,0.280258477,-0.368805587,1.110228419,1.392100453,-4.709926605,0.032321695
6,0.300000000,11,0.307556301,-0.469407707,1.110945702,1.331948400,-5.339962482,0.039397664
6,0.300000000,12,0.333318651,-0.581925333,1.111845851,1.238896370,-5.897964954,0.050617002
6,0.300000000,13,0.356908232,-0.704721510,1.112952113,1.115072727,-6.364923477,0.060003966
6,0.300000000,14,0.377736330,-0.835817933,1.114194989,0.963314176,-6.725813389,0.064287901
6,0.300000000,15,0.395281106,-0.972977996,1.115491509,0.787451029,-6.969783306,0.065363713
6,0.300000000,16,0.409104019,-1.113785386,1.116795301,0.591898739,-7.089581966,0.065017164
6,0.300000000,17,0.418857276,-1.255709529,1.118079305,0.381275088,-7.080986023,0.063387476
6,0.300000000,18,0.424286664,-1.396163464,1.119319558,0.160326481,-6.942533493,0.060628247
6,0.300000000,19,0.425234258,-1.532557249,1.120494962,-0.066070616,-6.675368786,0.056907464
6,0.300000000,20,0.421641022,-1.662349105,1.121587992,-0.292893946,-6.283179283,0.052407090
6,0.300000000,21,0.413550466,-1.783097744,1.122600794,-0.514873564,-5.772391319,0.048877295
6,0.300000000,22,0.401117265,-1.892524362,1.123574376,-0.726056874,-5.153042316,0.048481427
6,0.300000000,23,0.384625643,-1.988598943,1.124479771,-0.919529736,-4.440199375,0.042057890
6,0.300000000,24,0.364496022,-2.069650888,1.125066400,-1.089003563,-3.654929161,0.016613301
7,0.350000000,0,0.095240645,-0.026011392,1.109014273,0.717314661,-0.188341975,-0.009764742
7,0.350000000,1,0.110073216,-0.029917654,1.108201265,0.763465643,-0.199723333,-0.071525589
7,0.350000000,2,0.125641063,-0.033858862,1.106444716,0.789962947,-0.190967917,-0.104127035
